District, Population 
Alappuzha,2146033
Ernakulam,3427659
Idukki,1093156
Kannur,2615266
Kasaragod,1390894
Kollam,2659431
Kottayam,1983573
Kozhikode,3249761
Malappuram,4494998
Palakkad,2952254
Pathanamthitta,1172212
Thiruvananthapuram,3355148
Thrissur,3243170
Wayanad,846637
